lgas,year,general facility attendance,general outpatient attendance,antenatal attendance total, deliveries-assisted, caesarean section,deliveries complications,deliveries normal, preterm deliveries,pregnacy outcome-birth asphyxia,pregnacy outcome--neonatal-jaundice,pregnacy outcome—neonatal-sepsis,pregnacy outcome-neonatal-taetanus nhmis,pregnacy outcome-discharged newborns after kmc,pregnacy outcome-newborns placed on kmc,utilization facility attendance , ututilization outpatient attendance,beds,cost,incubators,total beds,condoms  distributed females,condoms  distributed male,family  planning  injections,oral pill cycle  (packets),persons given oral pills,sterilization total,iucd inserted,implant,female 15-49 yrs using mod contraceptives,fp clients counserlled,new fp acceptors,fp clients accessing hct services,functional beds,inpatient days – total ,inpatient discharges – total,inpatient admissions,antenatal total attendance,ancsyphilis case treated,anc syphilis test done,anc syphilis test positive,pregnant women  receiving llin,pregnant women receiving  hematinic,pregnant women who received malaria ipt1,women who received malaria ipt2,assisted,caesarean section,complications,preterm,hiv positive women,hiv positive women    (booked),hiv positive women   (unbooked),normal,deliveries by  skilled birth attendant,deliveries monitors partogran,live birth by hiv positive women,post natal visit total,hepatitis b2 ,hepatitis b vaccine 0  birth,hepatitis b vaccine 1 given ,bcg,oral polio vaccine 0 given,oral polio vaccine  1 given,oral polio vaccine  2 given,oral polio vaccine  3 given,pentavalent  vaccine 1 given,pnetavmococal vaccine (pcv) 2,pnetavmococal vaccine (pcv) 3,pnetavmococal vaccine (pcv) 2 ,pnetavmococal vaccine (pcv) 2.1,pnetavmococal vaccine (pcv) 2.2,yellow fever vaccine given,inactivated polio vaccine (ipv)n,conjugate a csm vaccine given,measles vaccine 1 given,measles vaccine 2 given,fully immunized children under 1 year,tetanue toxoid dose 1,tetanue toxoid dose 2,tetanue toxoid dose 1 3,tetanue toxoid dose 4,tetanue toxoid dose 5,children 0-59 months weighed,children 0-59 months weighed below bottomline,children 0-6 months  exclusivelly  breastfed,children 12-59 month given deworming medication,vitamin a children 12-59 months (200.000iu) ,"vitamin a children 6-11 months (100,000iu) ",art patients receiving arv refill ,hiv positive receiving cotrimoxazole  prophylaxis version 2013 ,hiv couples counseled tested & receiving results,hiv couples counseled tested & receiving results seroi,indiviuals hiv counseled tested and received  results,individuals tested hiv positive,pregnant women tested hiv positive,new arthritis,new cases of asthma,new cases of snake  bites,new coronary heart disease,new mdiabetes mellitus case,new home accident case,new hypertension case,new road  traffic accident case,new sickle cell disease case,anc women with previously known hiv status (at anc),pregnant women who received  hiv counseling  and testing and result (at anc),pregnant women who received  hiv counseling  and testing and result (at l&d),pregnant women who received  hiv counseling  and testing and result at pnc,pregnant hiv positive  women who received  arv prophylaxis for pmtct (total),pregnant hiv positive  women who received  arv prophylaxis for pmtct (total).1,growth     rate,pop,individual clinically screened  for tb,individuals clinically screened for tb score 1+ (tb  suspects),individuals started on tb treatment (hiv unknown),individuals started on tb treatment ((hiv-ve),registered tb patients screened for hiv,tb patients with hiv  receiving art,buruli ulcer patients notified,confirmed dr-tb patients enrolled for treatment,dr-tb suspects tested for dr-tb,suspects screened for tb,tb case successfully treated,tb cases (call forms) notifed,leprosy cases registered,outcome
Abua Odual,2013,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,22.0,2.0,3.0,23.0,2.0,1.0,0.0,7.0,10.0,9.0,1.0,1.0,0.0,0
Abua Odual,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,63.0,10.0,1.0,15.0,17.0,4.0,0.0,3.0,10.0,63.0,8.0,29.0,0.0,0
Abua Odual,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,13.0,6.0,3.0,7.0,4.0,2.0,0.0,2.0,10.0,13.0,15.0,3.0,0.0,0
Abua Odual,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,214.0,15.0,3.0,22.0,22.0,1.0,0.0,3.0,65.0,101.0,7.0,55.0,0.0,0
Abua Odual,2017,217444.0,12124.0,2481.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,243.0,39.0,3.0,6.0,11.0,14.0,0.0,7.0,10.0,56.0,15.0,9.0,0.0,0
Abua Odual,2018,238539.0,7886.0,2656.0,24.0,37.0,1.0,144.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,238539.0,7886.0,42.0,3.0,0.0,672.0,520.0,8485.0,649.0,368.0,438.0,163.0,96.0,182.0,948.0,3699.0,1936.0,993.0,89.4,316.0,433.0,497.0,2656.0,9.0,281.0,7.0,1303.0,4453.0,1128.0,1057.0,24.0,37.0,1.0,4.0,2.0,2.0,1.0,144.0,52.0,31.0,2.0,2.0,18.0,13862.0,21.0,22903.0,13844.0,14958.0,12109.0,14046.0,14958.0,12111.0,14047.0,12112.0,14058.0,14958.0,19012.0,14601.0,499.0,18862.0,43.0,20789.0,17263.0,15525.0,1388.0,696.0,227.0,78104.0,48.0,46249.0,48715.0,126266.0,20280.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,166.0,71.0,1.0,11.0,416.0,6.0,585.0,37.0,3.0,11.0,72.0,4.0,82.0,1.0,1.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Abua Odual,2019,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,158769.0,2876.0,42.0,3.0,0.0,720.0,588.0,5326.0,1097.0,1.0,492.0,1014.0,604.0,74.0,2089.0,3948.0,1863.0,967.0,102.0,1016.0,294.0,296.0,2445.0,9.0,281.0,7.0,428.0,1805.0,791.0,900.0,11.0,20.0,5.0,4.0,4.0,8.0,1.0,123.0,88.0,7.0,4.0,47.0,32.0,10513.0,21.0,12822.0,10870.0,14211.0,11851.0,13443.0,14193.0,11797.0,13443.0,14212.0,11759.0,13541.0,13349.0,13101.0,4173.0,13369.0,5898.0,11014.0,12915.0,11074.0,530.0,222.0,143.0,10010.0,2.0,35803.0,133186.0,123537.0,14258.0,407.0,262.0,14.0,1.0,1674.0,122.0,5.0,107.0,53.0,1.0,7.0,331.0,9.0,472.0,27.0,3.0,4.0,50.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Abua Odual,2020,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Abua Odual,2021,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,3.4,467279.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ahoada East,2013,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,243.0,55.0,3.0,13.0,17.0,15.0,0.0,10.0,9.0,69.0,19.0,45.0,0.0,0
Ahoada East,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,670.0,206.0,2.0,163.0,160.0,106.0,0.0,8.0,5.0,334.0,692.0,616.0,0.0,0
Ahoada East,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,399.0,55.0,1.0,80.0,110.0,16.0,0.0,7.0,6.0,186.0,93.0,85.0,0.0,0
Ahoada East,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,664.0,104.0,3.0,104.0,212.0,57.0,0.0,4.0,68.0,611.0,165.0,311.0,0.0,0
Ahoada East,2017,451195.0,14455.0,4267.0,6.0,19.0,2.0,63.0,1.0,29.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,627.0,360.0,3.0,119.0,220.0,60.0,0.0,43.0,10.0,628.0,116.0,457.0,0.0,0
Ahoada East,2018,115133.0,12438.0,3074.0,1.0,24.0,12.0,218.0,2.0,3.0,6.0,6.0,0.0,1.0,1.0,115133.0,12438.0,122.0,27.0,0.0,960.0,1768.0,8322.0,680.0,1050.0,732.0,22.0,72.0,356.0,2187.0,4511.0,2260.0,217.0,76.4,1532.0,297.0,312.0,3074.0,9.0,442.0,1.0,97.0,2000.0,186.0,204.0,1.0,24.0,12.0,2.0,14.0,14.0,5.0,218.0,146.0,42.0,18.0,202.0,14.0,5041.0,60.0,10607.0,5044.0,8857.0,7121.0,8355.0,8904.0,7151.0,8533.0,7236.0,8329.0,8904.0,8822.0,9606.0,499.0,8803.0,415.0,8463.0,5264.0,4248.0,649.0,29.0,4.0,171919.0,137.0,585.0,6083.0,39779.0,12858.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,113.0,39.0,4.0,11.0,117.0,5.0,300.0,37.0,12.0,33.0,471.0,1.0,82.0,31.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ahoada East,2019,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,108799.0,18854.0,122.0,27.0,0.0,960.0,716.0,3837.0,900.0,11.0,640.0,1839.0,1030.0,9.0,2821.0,6101.0,2448.0,498.0,105.5,1500.0,291.0,294.0,4036.0,9.0,710.0,3.0,356.0,2364.0,526.0,269.0,53.0,24.0,6.0,4.0,20.0,19.0,2.0,317.0,169.0,58.0,19.0,313.0,14.0,5532.0,21.0,14276.0,5574.0,10037.0,7882.0,9476.0,10057.0,7888.0,9525.0,10193.0,7888.0,9502.0,10316.0,10166.0,1806.0,10346.0,5984.0,9618.0,6180.0,6379.0,425.0,4.0,143.0,38542.0,54.0,1785.0,7424.0,10133.0,7792.0,3590.0,2601.0,74.0,5.0,13929.0,823.0,9.0,186.0,65.0,1.0,10.0,96.0,7.0,520.0,80.0,4.0,79.0,490.0,20.0,21.0,17.0,11.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ahoada East,2020,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ahoada East,2021,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,3.4,275338.0,420.0,61.0,3.0,23.0,53.0,14.0,0.0,7.0,10.0,78.0,15.0,58.0,0.0,0
Ahoada West,2013,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,18.0,6.0,1.0,9.0,8.0,14.0,0.0,7.0,2.0,16.0,7.0,11.0,0.0,0
Ahoada West,2014,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,420.0,61.0,3.0,4.0,53.0,14.0,0.0,7.0,10.0,78.0,1.0,4.0,0.0,0
Ahoada West,2015,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,6.0,4.0,3.0,4.0,3.0,14.0,0.0,2.0,2.0,3.0,15.0,3.0,0.0,0
Ahoada West,2016,21936.0,4869.0,1626.0,6.0,19.0,2.0,63.0,1.0,3.0,6.0,6.0,0.0,1.0,2.0,23775.0,5069.0,26.0,5.0,1.0,89.0,200.0,2659.0,243.0,82.0,200.0,157.0,96.0,74.0,724.0,1292.0,605.0,184.0,28.0,921.0,290.0,336.0,1843.0,9.0,281.0,7.0,129.0,1562.0,350.0,297.0,15.0,37.0,5.0,4.0,4.0,8.0,1.0,153.0,153.0,119.0,4.0,822.0,14.0,1805.0,21.0,2898.0,1846.0,2953.0,2148.0,2754.0,2942.0,2133.0,2756.0,2539.0,2427.0,2778.0,2625.0,2670.0,499.0,2670.0,415.0,2041.0,1806.0,1528.0,530.0,222.0,143.0,10010.0,48.0,2776.0,7021.0,12835.0,2944.0,184.0,147.0,14.0,1.0,959.0,55.0,7.0,45.0,18.0,1.0,10.0,62.0,6.0,137.0,17.0,3.0,40.0,234.0,36.0,82.0,11.0,8.0,0.0,41364.0,40.0,29.0,14.0,15.0,18.0,2.0,6.0,3.0,6.0,33.0,15.0,47.0,0.0,0
